Country;ISO3166_alpha3;coalcons_ej;coalprod_ej;gascons_ej;gasprod_ej;oilcons_ej;oilprod_kbd;Years
Algeria;DZA;0.00293076;0.0;0.0267498;0.0;0.055458907;569.9438356;1965
Algeria;DZA;0.002847024;0.0;0.0277893;0.0;0.072981739;733.5931507;1966
Algeria;DZA;0.002177136;0.0;0.0269577;0.0;0.068191312;842.6643836;1967
Algeria;DZA;0.00230274;0.0;0.0283437;0.0;0.072602285;922.495082;1968
Algeria;DZA;0.00293076;0.0;0.037266075;0.0;0.076701348;969.3315068;1969
Algeria;DZA;0.003475044;0.0;0.03503115;0.08776845;0.087651651;1053.926849;1970
Algeria;DZA;0.000962964;0.0;0.0397782;0.0925155;0.098784181;802.5873973;1971
Algeria;DZA;0.00083736;0.0;0.04618845;0.11722095;0.108437091;1081.04918;1972
Algeria;DZA;0.000962964;0.0;0.064293075;0.1555785;0.118441242;1128.74;1973
Algeria;DZA;0.000795492;0.0;0.0744282;0.17986815;0.131557827;1045.983014;1974
Algeria;DZA;0.001004832;0.0;0.102564;0.2214828;0.146270403;1025.497534;1975
Algeria;DZA;0.001967796;0.0;0.121275;0.27896715;0.168183837;1144.405661;1976
Algeria;DZA;0.002553948;0.0;0.1292445;0.266995575;0.190103377;1224.790849;1977
Algeria;DZA;0.001297908;0.0;0.2075535;0.4140675;0.196588601;1252.729671;1978
Algeria;DZA;0.003014496;0.0;0.2934855;0.6787242;0.235147022;1282.877301;1979
Algeria;DZA;0.002679552;0.0;0.3939705;0.554751;0.238328748;1134.182393;1980
Algeria;DZA;0.00188406;0.0;0.512127;0.643134348;0.256763062;1029.279452;1981
Algeria;DZA;0.03495978;0.0;0.5810805;0.839160324;0.272064304;1039.656164;1982
Algeria;DZA;0.03119166;0.0;0.636174;1.201653468;0.305612716;1026.933973;1983
Algeria;DZA;0.034582968;0.0;0.5589045;1.223131752;0.338407223;1122.489071;1984
Algeria;DZA;0.036090216;0.0;0.553707;1.34417214;0.347593691;1087.029055;1985
Algeria;DZA;0.03705318;0.0;0.606375;1.374819516;0.352876515;1126.000808;1986
Algeria;DZA;0.044296344;0.0;0.620235;1.55162808;0.356761886;1178.140068;1987
Algeria;DZA;0.04165866;0.0;0.6988905;1.622091924;0.357021355;1232.921475;1988
Algeria;DZA;0.035210988;0.0;0.657657;1.748993832;0.37417198;1276.397534;1989
Algeria;DZA;0.027591012;0.0;0.7023555;1.859650956;0.402521817;1366.596521;1990
Algeria;DZA;0.02847024;0.0;0.693693;2.005309728;0.39826003;1372.665753;1991
Algeria;DZA;0.033829344;0.0;0.7162155;2.088040896;0.40065356;1320.565574;1992
