Country;ISO3166_alpha3;pop;Years
Algeria;DZA;12.55088;1965
Algeria;DZA;12.902626;1966
Algeria;DZA;13.27502;1967
Algeria;DZA;13.663581;1968
Algeria;DZA;14.061724;1969
Algeria;DZA;14.464992;1970
Algeria;DZA;14.872253;1971
Algeria;DZA;15.285992;1972
Algeria;DZA;15.709831;1973
Algeria;DZA;16.149018;1974
Algeria;DZA;16.607706;1975
Algeria;DZA;17.085799;1976
Algeria;DZA;17.582899;1977
Algeria;DZA;18.102266;1978
Algeria;DZA;18.647801;1979
Algeria;DZA;19.221659;1980
Algeria;DZA;19.824297;1981
Algeria;DZA;20.452901;1982
Algeria;DZA;21.101875;1983
Algeria;DZA;21.763578;1984
Algeria;DZA;22.431507;1985
Algeria;DZA;23.102386;1986
Algeria;DZA;23.774287;1987
Algeria;DZA;24.443472;1988
Algeria;DZA;25.106192;1989
Algeria;DZA;25.758872;1990
Algeria;DZA;26.400468;1991
Algeria;DZA;27.02833;1992
Algeria;DZA;27.635517;1993
Algeria;DZA;28.213777;1994
Algeria;DZA;28.757788;1995
Algeria;DZA;29.266415;1996
Algeria;DZA;29.74298;1997
Algeria;DZA;30.19275;1998
Algeria;DZA;30.623406;1999
Algeria;DZA;31.042238;2000
Algeria;DZA;31.451513;2001
Algeria;DZA;31.85511;2002
Algeria;DZA;32.264159;2003
Algeria;DZA;32.692153;2004
Algeria;DZA;33.14972;2005
Algeria;DZA;33.641007;2006
Algeria;DZA;34.166976;2007
Algeria;DZA;34.730604;2008
Algeria;DZA;35.333882;2009
Algeria;DZA;35.977451;2010
Algeria;DZA;36.661438;2011
Algeria;DZA;37.383899;2012
Algeria;DZA;38.140135;2013
Algeria;DZA;38.923688;2014
Algeria;DZA;39.72802;2015
Algeria;DZA;40.551398;2016
Algeria;DZA;41.389174;2017
Algeria;DZA;42.228415;2018
Algeria;DZA;43.053054;2019
Angola;AGO;5.770573;1965
Angola;AGO;5.781305;1966
Angola;AGO;5.77444;1967
Angola;AGO;5.771973;1968
Angola;AGO;5.803677;1969
Angola;AGO;5.89036;1970
Angola;AGO;6.041239;1971
Angola;AGO;6.248965;1972
Angola;AGO;6.497283;1973
Angola;AGO;6.761623;1974
Angola;AGO;7.023994;1975
Angola;AGO;7.27963;1976
Angola;AGO;7.533814;1977
Angola;AGO;7.790774;1978
Angola;AGO;8.058112;1979
Angola;AGO;8.34129;1980
Angola;AGO;8.640478;1981
Angola;AGO;8.952971;1982
Angola;AGO;9.278104;1983
Angola;AGO;9.614756;1984
Angola;AGO;9.961993;1985
Angola;AGO;10.320116;1986
Angola;AGO;10.689247;1987
Angola;AGO;11.068051;1988
Angola;AGO;11.454784;1989
Angola;AGO;11.848385;1990
Angola;AGO;12.248901;1991
Angola;AGO;12.657361;1992
Angola;AGO;13.075044;1993
Angola;AGO;13.503753;1994
Angola;AGO;13.945205;1995
Angola;AGO;14.400722;1996
Angola;AGO;14.871572;1997
Angola;AGO;15.3596;1998
Angola;AGO;15.866871;1999
Angola;AGO;16.395477;2000
Angola;AGO;16.945753;2001
Angola;AGO;17.519418;2002
Angola;AGO;18.121477;2003
Angola;AGO;18.758138;2004
Angola;AGO;19.433604;2005
Angola;AGO;20.149905;2006
Angola;AGO;20.90536;2007
Angola;AGO;21.695636;2008
Angola;AGO;22.514275;2009
Angola;AGO;23.356247;2010
Angola;AGO;24.22066;2011
Angola;AGO;25.107925;2012
Angola;AGO;26.015786;2013
Angola;AGO;26.941773;2014
Angola;AGO;27.88438;2015
Angola;AGO;28.842482;2016
Angola;AGO;29.816769;2017
Angola;AGO;30.809787;2018
Angola;AGO;31.825299;2019
Argentina;ARG;22.159644;1965
Argentina;ARG;22.494031;1966
Argentina;ARG;22.828872;1967
Argentina;ARG;23.168268;1968
Argentina;ARG;23.517613;1969
Argentina;ARG;23.880564;1970
Argentina;ARG;24.259564;1971
Argentina;ARG;24.653172;1972
Argentina;ARG;25.056475;1973
Argentina;ARG;25.462305;1974
Argentina;ARG;25.865775;1975
Argentina;ARG;26.264681;1976
Argentina;ARG;26.661397;1977
Argentina;ARG;27.061041;1978
Argentina;ARG;27.471046;1979
Argentina;ARG;27.896532;1980
Argentina;ARG;28.338514;1981
Argentina;ARG;28.79455;1982
Argentina;ARG;29.262049;1983
Argentina;ARG;29.737097;1984
Argentina;ARG;30.216284;1985
Argentina;ARG;30.698964;1986
Argentina;ARG;31.184411;1987
Argentina;ARG;31.668939;1988
Argentina;ARG;32.148137;1989
Argentina;ARG;32.618648;1990
Argentina;ARG;33.079002;1991
Argentina;ARG;33.52932;1992
Argentina;ARG;33.970103;1993
Argentina;ARG;34.402669;1994
Argentina;ARG;34.828168;1995
Argentina;ARG;35.246376;1996
Argentina;ARG;35.657438;1997
Argentina;ARG;36.063451;1998
Argentina;ARG;36.467218;1999
Argentina;ARG;36.870796;2000
Argentina;ARG;37.275644;2001
Argentina;ARG;37.681743;2002
Argentina;ARG;38.087866;2003
Argentina;ARG;38.49197;2004
Argentina;ARG;38.892924;2005
Argentina;ARG;39.289876;2006
Argentina;ARG;39.684303;2007
Argentina;ARG;40.080159;2008
Argentina;ARG;40.482786;2009
Argentina;ARG;40.895751;2010
Argentina;ARG;41.320497;2011
Argentina;ARG;41.755188;2012
Argentina;ARG;42.196034;2013
Argentina;ARG;42.637508;2014
Argentina;ARG;43.075416;2015
Argentina;ARG;43.508459;2016
Argentina;ARG;43.937143;2017
Argentina;ARG;44.36115;2018
Argentina;ARG;44.780675;2019
Australia;AUS;11.313186;1965
Australia;AUS;11.593402;1966
Australia;AUS;11.899644;1967
Australia;AUS;12.215704;1968
Australia;AUS;12.518931;1969
Australia;AUS;12.79303;1970
Australia;AUS;13.03313;1971
Australia;AUS;13.244163;1972
Australia;AUS;13.43179;1973
Australia;AUS;13.605574;1974
Australia;AUS;13.77329;1975
Australia;AUS;13.935722;1976
Australia;AUS;14.092545;1977
Australia;AUS;14.249403;1978
Australia;AUS;14.413002;1979
Australia;AUS;14.5884;1980
